family,target,trial,score,dt,params
lgb,gender,22,0.865921,80.95,"{""n_estimators"": 5000, ""learning_rate"": 0.004717023307934175, ""num_leaves"": 191, ""max_depth"": 9, ""min_child_samples"": 120, ""feature_fraction"": 0.6, ""bagging_fraction"": 0.9, ""bagging_freq"": 10, ""reg_alpha"": 0.3270001205418245, ""reg_lambda"": 0.001084206585297628, ""min_split_gain"": 0.002026985620879146, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,23,0.869290,21.38,"{""n_estimators"": 800, ""learning_rate"": 0.01780860648872255, ""num_leaves"": 47, ""max_depth"": 9, ""min_child_samples"": 3, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.9, ""bagging_freq"": 3, ""reg_alpha"": 0.5959470609614117, ""reg_lambda"": 0.01750797341160859, ""min_split_gain"": 0.004642835733709986, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,24,0.861219,10.71,"{""n_estimators"": 400, ""learning_rate"": 0.023083390662556817, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 5, ""feature_fraction"": 0.4, ""bagging_fraction"": 0.5, ""bagging_freq"": 7, ""reg_alpha"": 0.1360710297250817, ""reg_lambda"": 0.00036713871354503733, ""min_split_gain"": 0.05800024509900429, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,25,0.842907,48.56,"{""n_estimators"": 1200, ""learning_rate"": 0.0033092997956372244, ""num_leaves"": 95, ""max_depth"": -1, ""min_child_samples"": 5, ""feature_fraction"": 0.5, ""bagging_fraction"": 1.0, ""bagging_freq"": 0, ""reg_alpha"": 0.014996618338025288, ""reg_lambda"": 0.22890382157626435, ""min_split_gain"": 0.019841354324763947, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,26,0.857753,17.47,"{""n_estimators"": 2400, ""learning_rate"": 0.02198270912320792, ""num_leaves"": 95, ""max_depth"": 12, ""min_child_samples"": 120, ""feature_fraction"": 0.9, ""bagging_fraction"": 1.0, ""bagging_freq"": 7, ""reg_alpha"": 0.12446933415945237, ""reg_lambda"": 0.05168960338068954, ""min_split_gain"": 0.07822284356895806, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,27,0.850509,23.36,"{""n_estimators"": 800, ""learning_rate"": 0.005234025324748711, ""num_leaves"": 383, ""max_depth"": 5, ""min_child_samples"": 2, ""feature_fraction"": 0.5, ""bagging_fraction"": 1.0, ""bagging_freq"": 10, ""reg_alpha"": 0.034602257732356805, ""reg_lambda"": 0.5789548161203492, ""min_split_gain"": 0.0002395084367907323, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,28,0.869515,55.57,"{""n_estimators"": 1600, ""learning_rate"": 0.011412653448653727, ""num_leaves"": 383, ""max_depth"": 7, ""min_child_samples"": 20, ""feature_fraction"": 0.9, ""bagging_fraction"": 1.0, ""bagging_freq"": 1, ""reg_alpha"": 0.07079681762139128, ""reg_lambda"": 0.0001717597785046994, ""min_split_gain"": 0.0005209513821780454, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,29,0.874217,71.97,"{""n_estimators"": 1600, ""learning_rate"": 0.02152072566255929, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.9, ""bagging_freq"": 5, ""reg_alpha"": 2.098431093479689, ""reg_lambda"": 0.21961665066442362, ""min_split_gain"": 0.0004250115070359062, ""path_smooth"": 1.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,30,0.868267,15.40,"{""n_estimators"": 400, ""learning_rate"": 0.061340707709199555, ""num_leaves"": 23, ""max_depth"": -1, ""min_child_samples"": 2, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.8, ""bagging_freq"": 10, ""reg_alpha"": 0.026265932973078252, ""reg_lambda"": 0.004287307332652745, ""min_split_gain"": 0.002038904614884209, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,31,0.867411,22.59,"{""n_estimators"": 1600, ""learning_rate"": 0.0225170718531742, ""num_leaves"": 191, ""max_depth"": 5, ""min_child_samples"": 5, ""feature_fraction"": 1.0, ""bagging_fraction"": 0.7, ""bagging_freq"": 7, ""reg_alpha"": 0.0028953041344105825, ""reg_lambda"": 0.15496209456453974, ""min_split_gain"": 0.0042583923747961765, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,32,0.850948,9.84,"{""n_estimators"": 800, ""learning_rate"": 0.03926033727918831, ""num_leaves"": 47, ""max_depth"": 4, ""min_child_samples"": 120, ""feature_fraction"": 0.6, ""bagging_fraction"": 0.7, ""bagging_freq"": 10, ""reg_alpha"": 0.0011968454042595041, ""reg_lambda"": 0.00014435358119456202, ""min_split_gain"": 0.0005069784229216124, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,33,0.811984,19.79,"{""n_estimators"": 1200, ""learning_rate"": 0.003056872575077694, ""num_leaves"": 127, ""max_depth"": 6, ""min_child_samples"": 200, ""feature_fraction"": 0.4, ""bagging_fraction"": 0.9, ""bagging_freq"": 0, ""reg_alpha"": 0.0071213548088263036, ""reg_lambda"": 0.011434962743491955, ""min_split_gain"": 0.026326498793023744, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,34,0.850467,24.83,"{""n_estimators"": 1200, ""learning_rate"": 0.00795959387691271, ""num_leaves"": 23, ""max_depth"": 7, ""min_child_samples"": 10, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.7, ""bagging_freq"": 0, ""reg_alpha"": 0.23452978507277358, ""reg_lambda"": 7.174892250890613, ""min_split_gain"": 0.018811836927405946, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,35,0.858267,25.51,"{""n_estimators"": 1200, ""learning_rate"": 0.01368021136191932, ""num_leaves"": 15, ""max_depth"": 12, ""min_child_samples"": 120, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.6, ""bagging_freq"": 7, ""reg_alpha"": 0.012083603850306553, ""reg_lambda"": 0.0005525287064620397, ""min_split_gain"": 0.00022830001032866598, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
